Image,ROI
00000.jpg,Object 1
00001.jpg,Background
00002.jpg,Object 1
00003.jpg,Object 1
00004.jpg,Object 1
00005.jpg,Background
00006.jpg,Background
00007.jpg,Object 1
00008.jpg,Background
00009.jpg,Background
00010.jpg,Background
00011.jpg,Background
00012.jpg,Object 1
00013.jpg,Object 1
00014.jpg,Object 1
00015.jpg,Object 1
00016.jpg,Object 1
00017.jpg,Object 1
00018.jpg,Object 1
00019.jpg,Object 1
00020.jpg,Object 1
00021.jpg,Object 1
00022.jpg,Background
00023.jpg,Background
00024.jpg,Background
00025.jpg,Background
00026.jpg,Background
00027.jpg,Object 2
00028.jpg,Object 2
00029.jpg,Background
00030.jpg,Object 2
00031.jpg,Object 2
00032.jpg,Object 2
00033.jpg,Background
00034.jpg,Background
00035.jpg,Background
00036.jpg,Background
00037.jpg,Background
00038.jpg,Background
00039.jpg,Background
00040.jpg,Background
00041.jpg,Background
00042.jpg,Object 1
00043.jpg,Object 1
00044.jpg,Object 1
00045.jpg,Object 1
00046.jpg,Object 1
00047.jpg,Object 1
00048.jpg,Object 1
00049.jpg,Object 1
00050.jpg,Object 1
00051.jpg,Object 1
00052.jpg,Object 1
00053.jpg,Object 1
00054.jpg,Background
00055.jpg,Object 1
00056.jpg,Background
00057.jpg,Background
00058.jpg,Background
00059.jpg,Background
00060.jpg,Background
00061.jpg,Background
00062.jpg,Background
00063.jpg,Background
00064.jpg,Background
00065.jpg,Background
00066.jpg,Background
00067.jpg,Background
00068.jpg,Background
00069.jpg,Background
00070.jpg,Background
00071.jpg,Background
00072.jpg,Object 2
00073.jpg,Object 2
00074.jpg,Background
00075.jpg,Background
00076.jpg,Object 2
00077.jpg,Background
00078.jpg,Object 2
00079.jpg,Background
00080.jpg,Background
00081.jpg,Background
00082.jpg,Background
00083.jpg,Object 2
00084.jpg,Object 2
00085.jpg,Object 2
00086.jpg,Object 2
00087.jpg,Object 2
00088.jpg,Background
00089.jpg,Background
00090.jpg,Background
00091.jpg,Background
00092.jpg,Background
00093.jpg,Background
00094.jpg,Background
00095.jpg,Background
00096.jpg,Object 2
00097.jpg,Background
00098.jpg,Background
00099.jpg,Object 2
00100.jpg,Object 2
